name, detector type, wavelength units, number of def points, central wavelength (nm), pivot wavelength (nm), effective wavelength (nm), Vega mag (mag), Vega flux (flam), Vega flux (Jy), AB mag (mag), AB flux (flam), AB flux (Jy), ST mag (mag), ST flux (flam), ST flux (Jy)
GROUND_COUSINS_I, energy, nm, 10000, 790.036, 787.262, 784.177, 22.3067, 1.19485e-09, 2470.19, 21.8885, 1.75623e-09, 3630.78, 21.1, 3.63078e-09, 7506.17
GROUND_COUSINS_R, energy, nm, 10000, 655.537, 647.115, 638.995, 21.6464, 2.19497e-09, 3065.99, 21.4629, 2.59931e-09, 3630.78, 21.1, 3.63078e-09, 5071.57
GROUND_JOHNSON_B, energy, nm, 901, 434.753, 429.67, 431.631, 20.5122, 6.23928e-09, 3842.24, 20.5736, 5.8959e-09, 3630.78, 21.1, 3.63078e-09, 2235.89
GROUND_JOHNSON_U, energy, nm, 10000, 365.196, 363.469, 370.928, 20.9462, 4.18339e-09, 1843.49, 20.2103, 8.23923e-09, 3630.78, 21.1, 3.63078e-09, 1599.98
GROUND_JOHNSON_V, energy, nm, 10000, 550.467, 546.985, 543.869, 21.0991, 3.63376e-09, 3626.5, 21.0978, 3.63806e-09, 3630.78, 21.1, 3.63078e-09, 3623.52
GaiaDR2_BP, photon, nm, 1701, 513.111, 505.152, 489.209, 20.9817, 4.0486e-09, 3446.1, 20.9251, 4.26557e-09, 3630.78, 21.1, 3.63078e-09, 3090.46
GaiaDR2_G, photon, nm, 2921, 640.621, 623.159, 555.817, 21.5101, 2.4886e-09, 3223.53, 21.3809, 2.803e-09, 3630.78, 21.1, 3.63078e-09, 4703.03
GaiaDR2_RP, photon, nm, 1881, 777.732, 772.597, 749.982, 22.2198, 1.29446e-09, 2577.35, 21.8477, 1.82354e-09, 3630.78, 21.1, 3.63078e-09, 7229.12
GaiaDR2_weiler_BPbright, photon, nm, 3093, 516.469, 509.18, 491.287, 20.974, 4.07744e-09, 3526.22, 20.9423, 4.19835e-09, 3630.78, 21.1, 3.63078e-09, 3139.94
GaiaDR2_weiler_BPfaint, photon, nm, 3093, 511.777, 503.849, 485.197, 20.96, 4.1303e-09, 3497.54, 20.9195, 4.28765e-09, 3630.78, 21.1, 3.63078e-09, 3074.54
GaiaDR2_weiler_G, photon, nm, 3093, 639.736, 622.878, 555.06, 21.4991, 2.51396e-09, 3253.44, 21.38, 2.80553e-09, 3630.78, 21.1, 3.63078e-09, 4698.78
GaiaDR2_weiler_RP, photon, nm, 3093, 783.046, 777.495, 752.32, 22.2366, 1.27456e-09, 2570.01, 21.8614, 1.80063e-09, 3630.78, 21.1, 3.63078e-09, 7321.07
GaiaDR2v2_BP, photon, nm, 3201, 512.897, 504.862, 489.533, 20.9854, 4.03511e-09, 3430.68, 20.9238, 4.27046e-09, 3630.78, 21.1, 3.63078e-09, 3086.92
GaiaDR2v2_G, photon, nm, 3201, 642.493, 624.676, 554.564, 21.5074, 2.49477e-09, 3247.29, 21.3862, 2.7894e-09, 3630.78, 21.1, 3.63078e-09, 4725.96
GaiaDR2v2_RP, photon, nm, 3201, 779.919, 774.087, 748.14, 22.2205, 1.29359e-09, 2585.57, 21.8519, 1.81652e-09, 3630.78, 21.1, 3.63078e-09, 7257.04
Gaia_BP, photon, nm, 99, 520.126, 513.385, 493.854, 20.9723, 4.0839e-09, 3590.38, 20.9602, 4.12985e-09, 3630.78, 21.1, 3.63078e-09, 3192.02
Gaia_G, photon, nm, 116, 641.86, 625.621, 559.216, 21.5076, 2.4943e-09, 3256.49, 21.3895, 2.78098e-09, 3630.78, 21.1, 3.63078e-09, 4740.25
Gaia_MAW_BP_bright, photon, nm, 3201, 518.864, 511.715, 492.384, 20.9752, 4.07296e-09, 3557.51, 20.9531, 4.15685e-09, 3630.78, 21.1, 3.63078e-09, 3171.29
Gaia_MAW_BP_faint, photon, nm, 3201, 511.655, 503.74, 485.595, 20.9627, 4.12031e-09, 3487.57, 20.919, 4.2895e-09, 3630.78, 21.1, 3.63078e-09, 3073.21
Gaia_MAW_G, photon, nm, 3201, 639.774, 622.936, 556.321, 21.5054, 2.49943e-09, 3235.25, 21.3802, 2.80501e-09, 3630.78, 21.1, 3.63078e-09, 4699.66
Gaia_MAW_RP, photon, nm, 3201, 781.13, 775.207, 748.924, 22.2244, 1.28897e-09, 2583.79, 21.855, 1.81128e-09, 3630.78, 21.1, 3.63078e-09, 7278.04
Gaia_RP, photon, nm, 88, 788.915, 783.598, 760.127, 22.2633, 1.24359e-09, 2547.08, 21.8784, 1.7727e-09, 3630.78, 21.1, 3.63078e-09, 7436.45
Gaia_rvs, photon, nm, 61, 860.375, 860.334, 859.988, 22.6228, 8.93083e-10, 2204.98, 22.0813, 1.47057e-09, 3630.78, 21.1, 3.63078e-09, 8964.24
HERSCHEL_PACS_BLUE, photon, nm, 405, 71933.4, 71541.5, 68924.7, 40.8229, 4.68622e-17, 0.800052, 31.6807, 2.12669e-13, 3630.78, 21.1, 3.63078e-09, 6.19862e+07
HERSCHEL_PACS_GREEN, photon, nm, 326, 102617, 102007, 97903.5, 42.3682, 1.12911e-17, 0.391903, 32.4511, 1.04606e-13, 3630.78, 21.1, 3.63078e-09, 1.26021e+08
HERSCHEL_PACS_RED, photon, nm, 235, 167135, 165356, 153944, 44.4414, 1.6728e-18, 0.152568, 33.5001, 3.98089e-14, 3630.78, 21.1, 3.63078e-09, 3.31147e+08
HERSCHEL_SPIRE_PLW, photon, nm, 195, 511604, 507844, nan, inf, 0, 0, 35.9366, 4.22047e-15, 3630.78, 21.1, 3.63078e-09, 3.12348e+09
HERSCHEL_SPIRE_PLW_EXT, photon, nm, 187, 526602, 522854, nan, inf, 0, 0, 35.9998, 3.98162e-15, 3630.78, 21.1, 3.63078e-09, 3.31085e+09
HERSCHEL_SPIRE_PMW, photon, nm, 223, 352832, 351368, 294557, 47.0696, 1.48651e-19, 0.0612168, 35.1368, 8.8165e-15, 3630.78, 21.1, 3.63078e-09, 1.49522e+09
HERSCHEL_SPIRE_PSW, photon, nm, 303, 251500, 250429, 242803, 46.3131, 2.98368e-19, 0.0624168, 34.4014, 1.73561e-14, 3630.78, 21.1, 3.63078e-09, 7.59537e+08
HERSCHEL_SPIRE_PSW_EXT, photon, nm, 312, 255646, 254621, 247095, 46.3873, 2.78663e-19, 0.0602625, 34.4374, 1.67893e-14, 3630.78, 21.1, 3.63078e-09, 7.85178e+08
HST_ACS_HRC_F220W, photon, nm, 10000, 226.429, 225.53, 223.898, 20.8528, 4.55932e-09, 773.551, 19.174, 2.13999e-08, 3630.78, 21.1, 3.63078e-09, 616.012
HST_ACS_HRC_F250W, photon, nm, 10000, 272.711, 271.582, 271.599, 21.0689, 3.73624e-09, 919.213, 19.5775, 1.47577e-08, 3630.78, 21.1, 3.63078e-09, 893.268
HST_ACS_HRC_F330W, photon, nm, 10000, 336.719, 336.271, 335.915, 21.2185, 3.25527e-09, 1227.85, 20.0414, 9.62591e-09, 3630.78, 21.1, 3.63078e-09, 1369.49
HST_ACS_HRC_F344N, photon, nm, 10000, 343.365, 343.357, 343.353, 21.2328, 3.21291e-09, 1263.49, 20.0867, 9.23268e-09, 3630.78, 21.1, 3.63078e-09, 1427.82
HST_ACS_HRC_F435W, photon, nm, 10000, 432.199, 431.101, 431.215, 20.4873, 6.38376e-09, 3957.42, 20.5808, 5.85684e-09, 3630.78, 21.1, 3.63078e-09, 2250.8
HST_ACS_HRC_F475W, photon, nm, 10000, 479.401, 477.575, 470.28, 20.7038, 5.22989e-09, 3978.83, 20.8032, 4.7724e-09, 3630.78, 21.1, 3.63078e-09, 2762.25
HST_ACS_HRC_F502N, photon, nm, 10000, 502.298, 502.286, 502.265, 20.8236, 4.68334e-09, 3941.28, 20.9127, 4.31437e-09, 3630.78, 21.1, 3.63078e-09, 3055.5
HST_ACS_HRC_F550M, photon, nm, 10000, 558.231, 557.984, 556.838, 21.1651, 3.41939e-09, 3551.16, 21.1411, 3.49605e-09, 3630.78, 21.1, 3.63078e-09, 3770.7
HST_ACS_HRC_F555W, photon, nm, 10000, 536.8, 535.596, 530.372, 21.0422, 3.82923e-09, 3664.08, 21.0521, 3.79442e-09, 3630.78, 21.1, 3.63078e-09, 3474.2
HST_ACS_HRC_F606W, photon, nm, 10000, 592.613, 588.796, 570.496, 21.337, 2.9187e-09, 3375.19, 21.2578, 3.13972e-09, 3630.78, 21.1, 3.63078e-09, 4198.65
HST_ACS_HRC_F625W, photon, nm, 10000, 630.924, 629.553, 622.307, 21.5633, 2.36969e-09, 3132.82, 21.4031, 2.74635e-09, 3630.78, 21.1, 3.63078e-09, 4800.03
HST_ACS_HRC_F658N, photon, nm, 10000, 658.378, 658.356, 658.537, 21.8768, 1.77533e-09, 2566.73, 21.5003, 2.5113e-09, 3630.78, 21.1, 3.63078e-09, 5249.3
HST_ACS_HRC_F660N, photon, nm, 10000, 659.925, 659.905, 659.955, 21.7842, 1.93341e-09, 2808.45, 21.5054, 2.49953e-09, 3630.78, 21.1, 3.63078e-09, 5274.03
HST_ACS_HRC_F775W, photon, nm, 10000, 767.747, 766.51, 760.081, 22.2139, 1.30146e-09, 2550.62, 21.8305, 1.85262e-09, 3630.78, 21.1, 3.63078e-09, 7115.65
HST_ACS_HRC_F814W, photon, nm, 10000, 814.693, 811.533, 797.426, 22.3799, 1.11694e-09, 2453.7, 21.9545, 1.65275e-09, 3630.78, 21.1, 3.63078e-09, 7976.12
HST_ACS_HRC_F850LP, photon, nm, 10000, 916.158, 914.524, 908.776, 22.7354, 8.05089e-10, 2246.02, 22.2139, 1.30146e-09, 3630.78, 21.1, 3.63078e-09, 10129.1
HST_ACS_HRC_F892N, photon, nm, 10000, 891.665, 891.651, 891.834, 22.6464, 8.73864e-10, 2317.46, 22.1589, 1.36909e-09, 3630.78, 21.1, 3.63078e-09, 9628.73
HST_ACS_WFC_F435W, photon, nm, 10000, 432.729, 431.741, 431.363, 20.4754, 6.45436e-09, 4013.1, 20.5841, 5.83947e-09, 3630.78, 21.1, 3.63078e-09, 2257.49
HST_ACS_WFC_F475W, photon, nm, 10000, 476.304, 474.436, 467.06, 20.6853, 5.31981e-09, 3994.21, 20.7888, 4.83576e-09, 3630.78, 21.1, 3.63078e-09, 2726.06
HST_ACS_WFC_F502N, photon, nm, 10000, 502.305, 502.297, 502.27, 20.8236, 4.68349e-09, 3941.58, 20.9128, 4.31419e-09, 3630.78, 21.1, 3.63078e-09, 3055.63
HST_ACS_WFC_F550M, photon, nm, 10000, 558.366, 558.124, 556.98, 21.1659, 3.41704e-09, 3550.5, 21.1416, 3.4943e-09, 3630.78, 21.1, 3.63078e-09, 3772.59
HST_ACS_WFC_F555W, photon, nm, 10000, 537.178, 535.957, 530.647, 21.0443, 3.82181e-09, 3661.92, 21.0536, 3.78932e-09, 3630.78, 21.1, 3.63078e-09, 3478.88
HST_ACS_WFC_F606W, photon, nm, 10000, 595.627, 591.768, 573.102, 21.3532, 2.8755e-09, 3358.89, 21.2687, 3.10826e-09, 3630.78, 21.1, 3.63078e-09, 4241.14
HST_ACS_WFC_F625W, photon, nm, 10000, 632.413, 631.046, 623.804, 21.5713, 2.35214e-09, 3124.39, 21.4083, 2.73337e-09, 3630.78, 21.1, 3.63078e-09, 4822.83
HST_ACS_WFC_F658N, photon, nm, 10000, 658.4, 658.391, 658.583, 21.8767, 1.77548e-09, 2567.22, 21.5004, 2.51104e-09, 3630.78, 21.1, 3.63078e-09, 5249.85
HST_ACS_WFC_F660N, photon, nm, 10000, 659.945, 659.94, 659.973, 21.7841, 1.93354e-09, 2808.94, 21.5055, 2.49926e-09, 3630.78, 21.1, 3.63078e-09, 5274.59
HST_ACS_WFC_F775W, photon, nm, 10000, 770.544, 769.303, 762.812, 22.2263, 1.28672e-09, 2540.13, 21.8384, 1.83919e-09, 3630.78, 21.1, 3.63078e-09, 7167.6
HST_ACS_WFC_F814W, photon, nm, 10000, 808.737, 805.977, 793.471, 22.3632, 1.13432e-09, 2457.88, 21.9396, 1.67562e-09, 3630.78, 21.1, 3.63078e-09, 7867.28
HST_ACS_WFC_F850LP, photon, nm, 10000, 907.157, 905.48, 899.707, 22.7129, 8.21947e-10, 2247.92, 22.1923, 1.32759e-09, 3630.78, 21.1, 3.63078e-09, 9929.71
HST_ACS_WFC_F892N, photon, nm, 10000, 891.509, 891.487, 891.586, 22.6474, 8.73051e-10, 2314.46, 22.1585, 1.36959e-09, 3630.78, 21.1, 3.63078e-09, 9625.19
HST_NIC2_F110W, photon, nm, 999, 1138.79, 1126.38, 1059.82, 23.398, 4.37317e-10, 1850.73, 22.6664, 8.57931e-10, 3630.78, 21.1, 3.63078e-09, 15365.5
HST_NIC2_F160W, photon, nm, 999, 1612.02, 1607.76, 1582.2, 24.7534, 1.25493e-10, 1082.04, 23.4391, 4.21093e-10, 3630.78, 21.1, 3.63078e-09, 31305.6
HST_NIC2_F205W, photon, nm, 1800, 2040.41, 2032.36, 1982.47, 25.6535, 5.47748e-11, 754.676, 23.948, 2.63524e-10, 3630.78, 21.1, 3.63078e-09, 50024.2
HST_NIC3_F108N, photon, nm, 1004, 1079.96, 1079.94, 1079.83, 23.2522, 5.00194e-10, 1945.9, 22.575, 9.33293e-10, 3630.78, 21.1, 3.63078e-09, 14124.8
HST_NIC3_F110W, photon, nm, 2001, 1103.19, 1089.84, 1023.06, 23.285, 4.85279e-10, 1922.62, 22.5948, 9.16429e-10, 3630.78, 21.1, 3.63078e-09, 14384.7
HST_NIC3_F113N, photon, nm, 1004, 1128.37, 1128.36, 1128.3, 23.4172, 4.29669e-10, 1824.78, 22.6702, 8.54916e-10, 3630.78, 21.1, 3.63078e-09, 15419.7
HST_NIC3_F150W, photon, nm, 2402, 1506.66, 1488.44, 1381.81, 24.4045, 1.73067e-10, 1278.96, 23.2716, 4.91312e-10, 3630.78, 21.1, 3.63078e-09, 26831.4
HST_NIC3_F160W, photon, nm, 1606, 1594.71, 1590.45, 1565.28, 24.7127, 1.30293e-10, 1099.37, 23.4156, 4.30308e-10, 3630.78, 21.1, 3.63078e-09, 30635.2
HST_NIC3_F164N, photon, nm, 1004, 1645.99, 1645.98, 1646.17, 24.8875, 1.10918e-10, 1002.37, 23.4901, 4.01766e-10, 3630.78, 21.1, 3.63078e-09, 32811.6
HST_NIC3_F166N, photon, nm, 504, 1658.23, 1658.22, 1658.18, 24.8542, 1.14377e-10, 1049.07, 23.5062, 3.95853e-10, 3630.78, 21.1, 3.63078e-09, 33301.6
HST_NIC3_F175W, photon, nm, 3002, 1750.74, 1721.4, 1552.86, 24.9358, 1.06092e-10, 1048.64, 23.5874, 3.67332e-10, 3630.78, 21.1, 3.63078e-09, 35887.3
HST_NIC3_F187N, photon, nm, 754, 1874.81, 1874.79, 1874.66, 25.41, 6.85472e-11, 803.666, 23.7727, 3.09681e-10, 3630.78, 21.1, 3.63078e-09, 42568.3
HST_NIC3_F190N, photon, nm, 504, 1900.34, 1900.33, 1900.25, 25.397, 6.9376e-11, 835.696, 23.8021, 3.01413e-10, 3630.78, 21.1, 3.63078e-09, 43736
HST_NIC3_F196N, photon, nm, 1004, 1963.86, 1963.84, 1963.86, 25.5341, 6.11438e-11, 786.583, 23.8735, 2.82233e-10, 3630.78, 21.1, 3.63078e-09, 46708.1
HST_NIC3_F200N, photon, nm, 1004, 1997.39, 1997.37, 1997.31, 25.5962, 5.77473e-11, 768.474, 23.9102, 2.72837e-10, 3630.78, 21.1, 3.63078e-09, 48316.7
HST_NIC3_F205M, photon, nm, 1802, 2048.44, 2043.07, 2009.99, 25.6843, 5.32472e-11, 741.382, 23.9594, 2.60768e-10, 3630.78, 21.1, 3.63078e-09, 50552.8
HST_NIC3_F212N, photon, nm, 1004, 2121.32, 2121.3, 2121.28, 25.8426, 4.60205e-11, 690.774, 24.041, 2.41889e-10, 3630.78, 21.1, 3.63078e-09, 54498.5
HST_NIC3_F215N, photon, nm, 1004, 2148.7, 2148.69, 2148.53, 25.9023, 4.35577e-11, 670.795, 24.0688, 2.35762e-10, 3630.78, 21.1, 3.63078e-09, 55914.6
HST_NIC3_F222M, photon, nm, 1754, 2216.41, 2215.83, 2212.43, 26.0273, 3.88225e-11, 635.821, 24.1356, 2.21691e-10, 3630.78, 21.1, 3.63078e-09, 59463.6
HST_NIC3_F240M, photon, nm, 802, 2397.67, 2396.91, 2391.9, 26.3367, 2.91953e-11, 559.494, 24.3062, 1.8946e-10, 3630.78, 21.1, 3.63078e-09, 69579.6
HST_WFC3_F098M, photon, nm, 270, 984.831, 983.513, 977.244, 22.9303, 6.72801e-10, 2170.83, 22.3718, 1.12528e-09, 3630.78, 21.1, 3.63078e-09, 11714.9
HST_WFC3_F105W, photon, nm, 210, 1093.21, 1080.44, 1035.03, 23.2287, 5.11121e-10, 1990.23, 22.5759, 9.32441e-10, 3630.78, 21.1, 3.63078e-09, 14137.7
HST_WFC3_F110W, photon, nm, 872, 1167.24, 1154.97, 1093.71, 23.4727, 4.08226e-10, 1816.44, 22.7208, 8.15982e-10, 3630.78, 21.1, 3.63078e-09, 16155.5
HST_WFC3_F125W, photon, nm, 1050, 1249.27, 1246.21, 1227.92, 23.7835, 3.06614e-10, 1588.37, 22.8859, 7.00875e-10, 3630.78, 21.1, 3.63078e-09, 18808.7
HST_WFC3_F126N, photon, nm, 313, 1748.01, 1712.32, 1466.61, 24.8742, 1.12286e-10, 1098.19, 23.5759, 3.71235e-10, 3630.78, 21.1, 3.63078e-09, 35510
HST_WFC3_F127M, photon, nm, 218, 1586.27, 1551.94, 1378.85, 24.5252, 1.54858e-10, 1244.12, 23.3623, 4.51931e-10, 3630.78, 21.1, 3.63078e-09, 29169.4
HST_WFC3_F128N, photon, nm, 353, 1747.04, 1714.22, 1497.42, 24.9329, 1.06376e-10, 1042.69, 23.5783, 3.70416e-10, 3630.78, 21.1, 3.63078e-09, 35588.6
HST_WFC3_F130N, photon, nm, 207, 1710.25, 1676.11, 1477.23, 24.8031, 1.19885e-10, 1123.44, 23.5295, 3.87451e-10, 3630.78, 21.1, 3.63078e-09, 34023.8
HST_WFC3_F132N, photon, nm, 294, 1649.44, 1617.02, 1445.75, 24.6724, 1.35223e-10, 1179.39, 23.4515, 4.16286e-10, 3630.78, 21.1, 3.63078e-09, 31667.1
HST_WFC3_F139M, photon, nm, 299, 1396.96, 1393.52, 1372.16, 24.2089, 2.07231e-10, 1342.34, 23.1285, 5.60524e-10, 3630.78, 21.1, 3.63078e-09, 23518.3
HST_WFC3_F140W, photon, nm, 261, 1397.12, 1392.37, 1363.84, 24.2028, 2.08396e-10, 1347.66, 23.1267, 5.61447e-10, 3630.78, 21.1, 3.63078e-09, 23479.6
HST_WFC3_F153M, photon, nm, 341, 1612.44, 1601.13, 1515.23, 24.7204, 1.29368e-10, 1106.27, 23.4301, 4.24586e-10, 3630.78, 21.1, 3.63078e-09, 31048.1
HST_WFC3_F160W, photon, nm, 197, 1543.27, 1540.93, 1525.98, 24.6024, 1.44227e-10, 1142.33, 23.3469, 4.58411e-10, 3630.78, 21.1, 3.63078e-09, 28757.1
HST_WFC3_F164N, photon, nm, 296, 1727.85, 1718.13, 1628.71, 25.0058, 9.94656e-11, 979.413, 23.5832, 3.68729e-10, 3630.78, 21.1, 3.63078e-09, 35751.4
HST_WFC3_F167N, photon, nm, 207, 1689.65, 1684.05, 1618.6, 24.8931, 1.10344e-10, 1043.85, 23.5397, 3.83807e-10, 3630.78, 21.1, 3.63078e-09, 34346.8
HST_WFC3_F200LP, photon, nm, 458, 634.325, 568.08, 479.218, 21.7065, 2.07691e-09, 2235.71, 21.18, 3.37289e-09, 3630.78, 21.1, 3.63078e-09, 3908.39
HST_WFC3_F218W, photon, nm, 460, 218.929, 218.461, 217.599, 20.7959, 4.80454e-09, 764.852, 19.1048, 2.28073e-08, 3630.78, 21.1, 3.63078e-09, 577.997
HST_WFC3_F225W, photon, nm, 521, 235.034, 234.172, 232.687, 20.9155, 4.30331e-09, 787.14, 19.2556, 1.98496e-08, 3630.78, 21.1, 3.63078e-09, 664.124
HST_WFC3_F275W, photon, nm, 514, 272.206, 271.688, 271.733, 21.0691, 3.73563e-09, 919.779, 19.5783, 1.47462e-08, 3630.78, 21.1, 3.63078e-09, 893.962
HST_WFC3_F280N, photon, nm, 679, 285.5, 283.849, 286.818, 21.1114, 3.593e-09, 965.633, 19.6734, 1.35097e-08, 3630.78, 21.1, 3.63078e-09, 975.787
HST_WFC3_F300X, photon, nm, 600, 285.104, 283.099, 284.34, 21.079, 3.70182e-09, 989.627, 19.6676, 1.35814e-08, 3630.78, 21.1, 3.63078e-09, 970.636
HST_WFC3_F336W, photon, nm, 903, 336.6, 336.213, 335.921, 21.219, 3.25402e-09, 1226.95, 20.041, 9.62925e-09, 3630.78, 21.1, 3.63078e-09, 1369.01
HST_WFC3_F343N, photon, nm, 1335, 344.026, 343.909, 343.824, 21.2393, 3.1937e-09, 1259.97, 20.0902, 9.20307e-09, 3630.78, 21.1, 3.63078e-09, 1432.41
HST_WFC3_F350LP, photon, nm, 898, 718.72, 681.41, 561.601, 21.8171, 1.8757e-09, 2905.09, 21.575, 2.34425e-09, 3630.78, 21.1, 3.63078e-09, 5623.36
HST_WFC3_F373N, photon, nm, 1020, 373.015, 373.01, 373.128, 21.1588, 3.43932e-09, 1596.22, 20.2666, 7.82311e-09, 3630.78, 21.1, 3.63078e-09, 1685.08
HST_WFC3_F390M, photon, nm, 911, 389.549, 389.492, 390.194, 20.455, 6.57663e-09, 3327.97, 20.3604, 7.17503e-09, 3630.78, 21.1, 3.63078e-09, 1837.28
HST_WFC3_F390W, photon, nm, 906, 391.629, 390.576, 399.152, 20.6048, 5.72875e-09, 2915.07, 20.3665, 7.13527e-09, 3630.78, 21.1, 3.63078e-09, 1847.52
HST_WFC3_F395N, photon, nm, 1079, 395.491, 395.482, 395.209, 20.3607, 7.17321e-09, 3742.37, 20.3936, 6.95932e-09, 3630.78, 21.1, 3.63078e-09, 1894.23
HST_WFC3_F410M, photon, nm, 497, 411.238, 411.085, 410.753, 20.313, 7.49532e-09, 4225.06, 20.4776, 6.44107e-09, 3630.78, 21.1, 3.63078e-09, 2046.64
HST_WFC3_F438W, photon, nm, 902, 432.444, 431.992, 430.85, 20.427, 6.74858e-09, 4200.91, 20.5853, 5.8327e-09, 3630.78, 21.1, 3.63078e-09, 2260.11
HST_WFC3_F467M, photon, nm, 522, 468.383, 468.305, 467.999, 20.6006, 5.75131e-09, 4207.3, 20.7606, 4.96321e-09, 3630.78, 21.1, 3.63078e-09, 2656.06
HST_WFC3_F469N, photon, nm, 1004, 468.812, 468.808, 468.798, 20.6004, 5.75233e-09, 4217.09, 20.7629, 4.95257e-09, 3630.78, 21.1, 3.63078e-09, 2661.76
HST_WFC3_F475W, photon, nm, 908, 478.096, 476.198, 468.443, 20.693, 5.28201e-09, 3995.33, 20.7969, 4.80005e-09, 3630.78, 21.1, 3.63078e-09, 2746.34
HST_WFC3_F475X, photon, nm, 910, 496.617, 491.855, 475.124, 20.8138, 4.72567e-09, 3813.45, 20.8671, 4.49931e-09, 3630.78, 21.1, 3.63078e-09, 2929.91
HST_WFC3_F487N, photon, nm, 1031, 487.14, 487.136, 487.318, 21.0218, 3.90182e-09, 3088.49, 20.8462, 4.58692e-09, 3630.78, 21.1, 3.63078e-09, 2873.95
HST_WFC3_F502N, photon, nm, 1031, 500.969, 500.962, 500.942, 20.8146, 4.72259e-09, 3953.39, 20.907, 4.33721e-09, 3630.78, 21.1, 3.63078e-09, 3039.41
HST_WFC3_F547M, photon, nm, 1889, 545.251, 544.857, 542.931, 21.0873, 3.67343e-09, 3637.61, 21.0894, 3.66653e-09, 3630.78, 21.1, 3.63078e-09, 3595.38
HST_WFC3_F555W, photon, nm, 910, 533.824, 531.138, 518.882, 21.0067, 3.95664e-09, 3723.24, 21.034, 3.85838e-09, 3630.78, 21.1, 3.63078e-09, 3416.6
HST_WFC3_F600LP, photon, nm, 904, 854.88, 842.74, 787.831, 22.4554, 1.04193e-09, 2468.34, 22.0364, 1.53262e-09, 3630.78, 21.1, 3.63078e-09, 8601.35
HST_WFC3_F606W, photon, nm, 567, 594.674, 590.867, 572.807, 21.3501, 2.88377e-09, 3358.29, 21.2654, 3.11775e-09, 3630.78, 21.1, 3.63078e-09, 4228.23
HST_WFC3_F621M, photon, nm, 582, 622.157, 621.872, 620.322, 21.5226, 2.46013e-09, 3173.52, 21.3765, 2.81461e-09, 3630.78, 21.1, 3.63078e-09, 4683.62
HST_WFC3_F625W, photon, nm, 908, 627.248, 625.573, 616.86, 21.5398, 2.42151e-09, 3160.98, 21.3893, 2.78141e-09, 3630.78, 21.1, 3.63078e-09, 4739.53
HST_WFC3_F631N, photon, nm, 1006, 630.486, 630.469, 630.419, 21.564, 2.36808e-09, 3139.81, 21.4063, 2.73837e-09, 3630.78, 21.1, 3.63078e-09, 4814.01
HST_WFC3_F645N, photon, nm, 908, 645.406, 645.391, 645.326, 21.6466, 2.19455e-09, 3049.09, 21.4571, 2.61321e-09, 3630.78, 21.1, 3.63078e-09, 5044.59
HST_WFC3_F656N, photon, nm, 986, 656.156, 656.148, 656.005, 22.113, 1.4282e-09, 2051.02, 21.493, 2.52823e-09, 3630.78, 21.1, 3.63078e-09, 5214.14
HST_WFC3_F657N, photon, nm, 1214, 656.708, 656.695, 656.657, 21.8203, 1.87024e-09, 2690.32, 21.4948, 2.52402e-09, 3630.78, 21.1, 3.63078e-09, 5222.85
HST_WFC3_F658N, photon, nm, 577, 658.701, 658.569, 658.423, 21.8629, 1.79816e-09, 2601.42, 21.501, 2.50968e-09, 3630.78, 21.1, 3.63078e-09, 5252.69
HST_WFC3_F665N, photon, nm, 1255, 665.638, 665.626, 665.649, 21.7605, 1.97605e-09, 2920.36, 21.5241, 2.45675e-09, 3630.78, 21.1, 3.63078e-09, 5365.86
HST_WFC3_F673N, photon, nm, 1104, 676.64, 676.629, 676.573, 21.7986, 1.90797e-09, 2913.75, 21.5597, 2.3775e-09, 3630.78, 21.1, 3.63078e-09, 5544.73
HST_WFC3_F680N, photon, nm, 911, 688.144, 688.053, 687.59, 21.8538, 1.81335e-09, 2863.56, 21.5961, 2.2992e-09, 3630.78, 21.1, 3.63078e-09, 5733.54
HST_WFC3_F689M, photon, nm, 904, 689.108, 688.792, 687.732, 21.8757, 1.77718e-09, 2812.46, 21.5984, 2.29427e-09, 3630.78, 21.1, 3.63078e-09, 5745.87
HST_WFC3_F763M, photon, nm, 908, 764.192, 763.841, 761.99, 22.2058, 1.31129e-09, 2552.03, 21.823, 1.86558e-09, 3630.78, 21.1, 3.63078e-09, 7066.19
HST_WFC3_F775W, photon, nm, 906, 774.719, 773.511, 767.152, 22.2447, 1.26504e-09, 2524.74, 21.8503, 1.81923e-09, 3630.78, 21.1, 3.63078e-09, 7246.24
HST_WFC3_F814W, photon, nm, 911, 833.974, 830.697, 816.07, 22.4501, 1.04699e-09, 2409.94, 22.0052, 1.57738e-09, 3630.78, 21.1, 3.63078e-09, 8357.26
HST_WFC3_F845M, photon, nm, 910, 847.525, 847.121, 845.316, 22.5511, 9.54045e-10, 2283.7, 22.0477, 1.51681e-09, 3630.78, 21.1, 3.63078e-09, 8691
HST_WFC3_F850LP, photon, nm, 911, 978.556, 975.934, 964.11, 22.9241, 6.76666e-10, 2149.78, 22.3551, 1.14283e-09, 3630.78, 21.1, 3.63078e-09, 11535.1
HST_WFC3_F953N, photon, nm, 983, 953.293, 953.287, 953.079, 22.9204, 6.78953e-10, 2058.1, 22.3041, 1.19777e-09, 3630.78, 21.1, 3.63078e-09, 11005.9
