name, detector type, wavelength units, number of def points, central wavelength (nm), pivot wavelength (nm), effective wavelength (nm), Vega mag (mag), Vega flux (flam), Vega flux (Jy), AB mag (mag), AB flux (flam), AB flux (Jy), ST mag (mag), ST flux (flam), ST flux (Jy)
JWST_NIRCAM_F070W, photon, nm, 2050, 706.178, 704.322, 695.595, 21.9339, 1.68436e-09, 2787.12, 21.6468, 2.19421e-09, 3630.78, 21.1, 3.63078e-09, 6007.88
JWST_NIRCAM_F090W, photon, nm, 2049, 904.442, 902.308, 894.511, 22.6961, 8.34775e-10, 2267.03, 22.1847, 1.33694e-09, 3630.78, 21.1, 3.63078e-09, 9860.26
JWST_NIRCAM_F115W, photon, nm, 2049, 1157.06, 1154.31, 1137.97, 23.4968, 3.99291e-10, 1774.64, 22.7196, 8.16919e-10, 3630.78, 21.1, 3.63078e-09, 16136.9
JWST_NIRCAM_F140M, photon, nm, 2051, 1406.07, 1405.35, 1400.96, 24.2499, 1.99537e-10, 1314.54, 23.1469, 5.51124e-10, 3630.78, 21.1, 3.63078e-09, 23919.4
JWST_NIRCAM_F150W, photon, nm, 2048, 1504.01, 1500.76, 1480.88, 24.4949, 1.59241e-10, 1196.35, 23.2895, 4.83279e-10, 3630.78, 21.1, 3.63078e-09, 27277.3
JWST_NIRCAM_F150W2, photon, nm, 2049, 1703.86, 1658.82, 1399.14, 24.7334, 1.27834e-10, 1173.34, 23.5069, 3.95569e-10, 3630.78, 21.1, 3.63078e-09, 33325.6
JWST_NIRCAM_F162M, photon, nm, 2051, 1628.06, 1627.26, 1622.76, 24.817, 1.18363e-10, 1045.46, 23.4652, 4.11063e-10, 3630.78, 21.1, 3.63078e-09, 32069.4
JWST_NIRCAM_F164N, photon, nm, 2051, 1644.62, 1644.59, 1644.59, 24.8801, 1.11676e-10, 1007.52, 23.4882, 4.02444e-10, 3630.78, 21.1, 3.63078e-09, 32756.2
JWST_NIRCAM_F182M, photon, nm, 2051, 1846.59, 1845.17, 1836.03, 25.296, 7.61371e-11, 864.663, 23.7381, 3.19705e-10, 3630.78, 21.1, 3.63078e-09, 41233.6
JWST_NIRCAM_F187N, photon, nm, 2047, 1873.92, 1873.89, 1873.55, 25.3957, 6.94548e-11, 813.522, 23.7717, 3.09979e-10, 3630.78, 21.1, 3.63078e-09, 42527.2
JWST_NIRCAM_F200W, photon, nm, 2048, 1993.39, 1988.64, 1958.7, 25.5767, 5.87924e-11, 775.558, 23.9007, 2.75237e-10, 3630.78, 21.1, 3.63078e-09, 47895.3
JWST_NIRCAM_F210M, photon, nm, 2051, 2096.37, 2095.45, 2089, 25.7947, 4.80986e-11, 704.475, 24.0143, 2.47895e-10, 3630.78, 21.1, 3.63078e-09, 53178.1
JWST_NIRCAM_F212N, photon, nm, 2049, 2121.25, 2121.19, 2120.41, 25.8419, 4.60511e-11, 691.161, 24.0408, 2.41914e-10, 3630.78, 21.1, 3.63078e-09, 54492.8
JWST_NIRCAM_F250M, photon, nm, 2535, 2504.11, 2503.48, 2499.51, 26.5172, 2.47252e-11, 516.902, 24.4007, 1.73673e-10, 3630.78, 21.1, 3.63078e-09, 75904.6
JWST_NIRCAM_F277W, photon, nm, 2535, 2769.49, 2761.87, 2713.18, 26.9031, 1.73279e-11, 440.892, 24.614, 1.42697e-10, 3630.78, 21.1, 3.63078e-09, 92381.8
JWST_NIRCAM_F300M, photon, nm, 2236, 2990.91, 2989.25, 2978.64, 27.2389, 1.27181e-11, 379.076, 24.7858, 1.21813e-10, 3630.78, 21.1, 3.63078e-09, 108219
JWST_NIRCAM_F322W2, photon, nm, 2236, 3266.8, 3232, 3007.38, 27.4883, 1.01082e-11, 352.206, 24.9553, 1.04202e-10, 3630.78, 21.1, 3.63078e-09, 126509
JWST_NIRCAM_F323N, photon, nm, 2236, 3236.96, 3236.92, 3236.66, 27.5648, 9.42032e-12, 329.237, 24.9586, 1.03886e-10, 3630.78, 21.1, 3.63078e-09, 126895
JWST_NIRCAM_F335M, photon, nm, 2236, 3364.01, 3362.17, 3350.22, 27.7229, 8.14435e-12, 307.097, 25.041, 9.62899e-11, 3630.78, 21.1, 3.63078e-09, 136905
JWST_NIRCAM_F356W, photon, nm, 2157, 3576.81, 3568.38, 3511.92, 27.9572, 6.56351e-12, 278.778, 25.1703, 8.54827e-11, 3630.78, 21.1, 3.63078e-09, 154213
JWST_NIRCAM_F360M, photon, nm, 2236, 3626.12, 3624.23, 3611.05, 28.0357, 6.10557e-12, 267.508, 25.204, 8.28685e-11, 3630.78, 21.1, 3.63078e-09, 159078
JWST_NIRCAM_F405N, photon, nm, 2238, 4051.76, 4051.72, 4051.57, 28.5277, 3.88087e-12, 212.514, 25.4461, 6.63042e-11, 3630.78, 21.1, 3.63078e-09, 198819
JWST_NIRCAM_F410M, photon, nm, 2236, 4084.38, 4082.23, 4067.97, 28.5348, 3.85541e-12, 214.311, 25.4624, 6.53168e-11, 3630.78, 21.1, 3.63078e-09, 201825
JWST_NIRCAM_F430M, photon, nm, 2157, 4281.77, 4281.2, 4277.17, 28.7364, 3.20209e-12, 195.769, 25.5658, 5.93868e-11, 3630.78, 21.1, 3.63078e-09, 221978
JWST_NIRCAM_F444W, photon, nm, 2236, 4415.86, 4404.16, 4327.24, 28.8358, 2.92187e-12, 189.045, 25.6273, 5.6117e-11, 3630.78, 21.1, 3.63078e-09, 234912
JWST_NIRCAM_F460M, photon, nm, 2236, 4630.24, 4629.63, 4624.35, 29.0688, 2.35769e-12, 168.562, 25.7357, 5.07842e-11, 3630.78, 21.1, 3.63078e-09, 259580
JWST_NIRCAM_F466N, photon, nm, 2236, 4654.44, 4654.41, 4653.92, 29.1233, 2.2423e-12, 162.032, 25.7473, 5.02449e-11, 3630.78, 21.1, 3.63078e-09, 262366
JWST_NIRCAM_F470N, photon, nm, 2238, 4707.77, 4707.74, 4707.63, 29.1363, 2.2156e-12, 163.793, 25.772, 4.9113e-11, 3630.78, 21.1, 3.63078e-09, 268413
JWST_NIRCAM_F480M, photon, nm, 2236, 4818.97, 4817.83, 4809.11, 29.2297, 2.03284e-12, 157.393, 25.8222, 4.68941e-11, 3630.78, 21.1, 3.63078e-09, 281113
KEPLER_Kp, energy, nm, 623, 641.684, 608.207, 578.121, 21.4133, 2.72069e-09, 3357.08, 21.3282, 2.94251e-09, 3630.78, 21.1, 3.63078e-09, 4480.04
NGTS_I, energy, nm, 1000, 703.021, 680.125, 656.946, 21.7867, 1.92888e-09, 2976.2, 21.5709, 2.35311e-09, 3630.78, 21.1, 3.63078e-09, 5602.18
PS1_g, photon, nm, 177, 486.646, 484.912, 477.562, 20.7434, 5.0426e-09, 3955.11, 20.8363, 4.62909e-09, 3630.78, 21.1, 3.63078e-09, 2847.77
PS1_i, photon, nm, 179, 754.457, 753.496, 748.457, 22.1565, 1.37213e-09, 2598.58, 21.7934, 1.91716e-09, 3630.78, 21.1, 3.63078e-09, 6876.08
PS1_r, photon, nm, 185, 621.462, 620.119, 612.95, 21.5138, 2.4802e-09, 3181.37, 21.3703, 2.83055e-09, 3630.78, 21.1, 3.63078e-09, 4657.24
PS1_w, photon, nm, 472, 638.935, 628.596, 577.514, 21.5237, 2.45769e-09, 3239.29, 21.3998, 2.75472e-09, 3630.78, 21.1, 3.63078e-09, 4785.45
PS1_y, photon, nm, 204, 963.326, 962.774, 960.304, 22.8645, 7.14844e-10, 2210.24, 22.3256, 1.17428e-09, 3630.78, 21.1, 3.63078e-09, 11226.1
PS1_z, photon, nm, 166, 867.948, 867.418, 865.78, 22.6061, 9.06871e-10, 2276.05, 22.0991, 1.44665e-09, 3630.78, 21.1, 3.63078e-09, 9112.47
SDSS_g, photon, nm, 89, 471.887, 470.25, 464.042, 20.6631, 5.42965e-09, 4005.05, 20.7696, 4.92225e-09, 3630.78, 21.1, 3.63078e-09, 2678.16
